Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,relation_clean,pKi_numeric
CHEMBL4212943,,,452.53,0.0,4.42,8b,CC(=O)c1c(OCCCCN2CCN(c3cccc(F)c3)CC2)ccc2c(C)cc(=O)oc12,Ki,'=',400.0,nM,6.4,,,UO_0000065,14.14,0.26,1.98,10.16,0,CHEMBL4186929,Displacement of [3H]-ketanserin from human 5-HT2A receptor expressed in CHO-K1 cell membranes after 60 mins by microbeta scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4184192,1,Scientific Literature,Bioorg Med Chem,2018.0,,,=,6.4
CHEMBL316527,,,235.28,0.0,1.07,9,COc1c2c(c(CCN)c3c1OCC3)CCO2,Ki,'=',4443.0,nM,5.35,,,UO_0000065,,,,,0,CHEMBL617068,Antagonist activity at cloned human 5-hydroxytryptamine 2A receptor using [3H]-Ketanserin radioligand,F,BAO_0000019,assay format,,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1130147,1,Scientific Literature,J Med Chem,1997.0,,,=,5.35
CHEMBL4591410,,,336.4,0.0,3.49,22; PKSN-240,COc1ccc2[nH]cc(CCNCc3ccc(-c4cn[nH]c4)o3)c2c1,Ki,'=',28.0,nM,7.55,,,UO_0000065,22.45,0.41,4.06,9.58,0,CHEMBL4316412,Binding affinity to human 5-HT2AR expressed in HEK293 cells by competitive binding assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4312034,1,Scientific Literature,Eur J Med Chem,2020.0,CHEMBL3307715,,=,7.55
CHEMBL4584504,,,350.39,0.0,4.6,34; PKSN-222,Oc1ccc(-c2ccc(CNCCc3c[nH]c4cc(F)ccc34)o2)cc1,Ki,'=',96.0,nM,7.02,,,UO_0000065,20.03,0.37,2.42,11.47,0,CHEMBL4316412,Binding affinity to human 5-HT2AR expressed in HEK293 cells by competitive binding assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4312034,1,Scientific Literature,Eur J Med Chem,2020.0,CHEMBL3307715,,=,7.02
CHEMBL180010,,,481.43,1.0,5.16,"6, PG01037",O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,Ki,'=',62.4,nM,7.21,,,UO_0000065,14.97,0.3,2.04,14.86,0,CHEMBL895656,Binding affinity to human 5HT2A receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148745,1,Scientific Literature,J Med Chem,2007.0,,,=,7.21
CHEMBL3771331,,,328.42,0.0,1.78,22,CCNC(=O)c1cccc(NC2=NC(N)=NC3(CCCCC3)N2)c1,Ki,'=',1313.0,nM,5.88,,,UO_0000065,17.91,0.33,4.1,5.66,0,CHEMBL3773622,Displacement of [3H]Ketanserin from 5-HT2A receptor (unknown origin) after 1.5 hrs by microbeta scintillation counting method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3769382,1,Scientific Literature,J Med Chem,2016.0,,,=,5.88
CHEMBL398619,,,483.64,0.0,4.47,12j,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1cccnc1,Ki,'=',0.95,nM,9.02,,,UO_0000065,18.65,0.35,4.55,14.7,0,CHEMBL945769,Displacement of [3H]ketanserin from human 5HT2A receptor expressed in Swiss 3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,NIH3T3,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1140829,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,CHEMBL3307716,,=,9.02
CHEMBL442290,,,500.64,2.0,5.22,12i,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccc(F)cc1,Ki,'=',2.45,nM,8.61,,,UO_0000065,17.2,0.33,3.39,17.77,0,CHEMBL945769,Displacement of [3H]ketanserin from human 5HT2A receptor expressed in Swiss 3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,NIH3T3,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1140829,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,CHEMBL3307716,,=,8.61
CHEMBL275451,,,382.48,0.0,3.76,12,O=C1c2ccccc2CCCN1CCN1CCC(Oc2ccc(F)cc2)CC1,Ki,'=',31.62,nM,7.5,,,UO_0000065,19.61,0.37,3.74,22.88,0,CHEMBL617254,Binding affinity at human cloned 5-hydroxytryptamine 2A receptor.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136643,1,Scientific Literature,Bioorg Med Chem Lett,2003.0,,,=,7.5
CHEMBL316527,,,235.28,0.0,1.07,9,COc1c2c(c(CCN)c3c1OCC3)CCO2,Ki,'=',335.0,nM,6.47,,,UO_0000065,,,,,0,CHEMBL617064,Agonist activity at cloned human 5-hydroxytryptamine 2A receptor using [125I]DOI radioligand,F,BAO_0000019,assay format,,,,,,,,,CHEMBL224,Serotonin 2a (5-HT2a) receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1130147,1,Scientific Literature,J Med Chem,1997.0,,,=,6.47
