zinc_id,smiles,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year,pKi_numeric
ZINC000029038589,CC(=O)N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,5HT2A_HUMAN,HTR2A,11.0,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,11.0
ZINC000029038591,CC(=O)N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,5HT2A_HUMAN,HTR2A,11.0,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,11.0
ZINC000029038592,CCC(=O)N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,5HT2A_HUMAN,HTR2A,11.0,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,11.0
ZINC000029038594,CCC(=O)N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,5HT2A_HUMAN,HTR2A,11.0,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,11.0
ZINC000000597400,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,5HT2A_HUMAN,HTR2A,10.4,16293,,11170639.0,,CHEMBL1134342,J. Med. Chem.,2001.0,10.4
ZINC000013782372,C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12,5HT2A_HUMAN,HTR2A,10.4,14755,,9857084.0,,CHEMBL1131520,J. Med. Chem.,1998.0,10.4
ZINC000013782373,C[C@H](N)Cc1c2ccoc2c(Br)c2ccoc12,5HT2A_HUMAN,HTR2A,10.4,14755,,9857084.0,,CHEMBL1131520,J. Med. Chem.,1998.0,10.4
ZINC000029038642,O=C(Cc1ccccc1)N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,5HT2A_HUMAN,HTR2A,10.4,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,10.4
ZINC000029038644,O=C(Cc1ccccc1)N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,5HT2A_HUMAN,HTR2A,10.4,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,10.4
ZINC000028527344,C[C@@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(Cl)cc21,5HT2A_HUMAN,HTR2A,10.3,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,10.3
ZINC000028527346,C[C@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(Cl)cc21,5HT2A_HUMAN,HTR2A,10.3,30061,,16087333.0,,CHEMBL1140391,Bioorg. Med. Chem. Lett.,2005.0,10.3
ZINC000003934176,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccccc3)[nH]c2c1,5HT2A_HUMAN,HTR2A,10.22,15949,,11334570.0,,CHEMBL1134475,J. Med. Chem.,2001.0,10.22
ZINC000034660438,C[C@H](O)c1ccccc1S(=O)(=O)c1ccc(/C=C/c2ccc(F)cc2)cc1,5HT2A_HUMAN,HTR2A,10.15,51416,,20493697.0,,CHEMBL1158627,Bioorg. Med. Chem. Lett.,2010.0,10.15
ZINC000049037168,C[C@@H](O)c1ccccc1S(=O)(=O)c1ccc(/C=C/c2ccc(F)cc2)cc1,5HT2A_HUMAN,HTR2A,10.15,51416,,20493697.0,,CHEMBL1158627,Bioorg. Med. Chem. Lett.,2010.0,10.15
ZINC000000538550,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,5HT2A_HUMAN,HTR2A,10.1,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,10.1
ZINC000026646210,CCN(C)CCc1c(-c2cccc(F)c2)[nH]c2ccccc12,5HT2A_HUMAN,HTR2A,10.1,4012,,11133071.0,,CHEMBL1132836,Bioorg. Med. Chem. Lett.,2000.0,10.1
ZINC000029038716,O=C(N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccno1,5HT2A_HUMAN,HTR2A,10.1,38266,,18160289.0,,CHEMBL1140829,Bioorg. Med. Chem. Lett.,2008.0,10.1
ZINC000013862749,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1[C@@H]1CNCC[C@H]1F,5HT2A_HUMAN,HTR2A,10.05,15949,,11334570.0,,CHEMBL1134475,J. Med. Chem.,2001.0,10.05
